,time,user,tweet
0,2022-08-16 09:28:34+00:00,atiku,"I thank Gov. Fintiri, and all stakeholders and supporters who made this possible. -AA"
1,2022-08-16 09:28:32+00:00,atiku,"Yesterday felt like an actual highlight reel, from the immense love and reception on my arrival, to receiving thousands of defectors over to the @OfficialPDPNig at Ribadu Square and then the dinner in my honour, amongst others. https://t.co/kpwsK3LV2E"
2,2022-08-15 20:52:11+00:00,atiku,"Today‘s outing was a confirmation of the direction the people have chosen. More importantly, it was an opportunity to welcome the thousands of defectors from various political parties to our great PDP. My heart is excited. I couldn’t have asked for more. -AA #AtikuInYola https://t.co/0Mnlk2ont9"
3,2022-08-15 12:11:44+00:00,atiku,"I'm humbled by this extraordinary show of love. I love you all more. As ONE, we shall get it done. -AA
#AtikuInYola https://t.co/sjDX7DT7uA"
4,2022-08-13 14:26:06+00:00,atiku,"It was my honour and pleasure to attend the wedding Fatiha of Surayya Sule Lamido, daughter of Alhaji Sule Lamido, former Governor of Jigawa State and Yazeed Shehu Danfulani, in Birnin Kudu, Jigawa State. It is my prayer that the union be blessed beyond measure. -AA https://t.co/9A7cmwhaJK"
5,2022-08-12 19:46:12+00:00,atiku,I pledge I will work with university authorities to end these incessant strikes that are causing unacceptable harm to the ability of our children to get an education. #IYD2022. -AA
6,2022-08-12 19:45:54+00:00,atiku,I take very strong exception to the strike by ASUU and the government's inability to resolve the crisis. I have been investing in education for the past thirty years. https://t.co/LSbLDjdOKj
7,2022-08-12 19:31:46+00:00,atiku,"Congratulations, @AsisatOshoala, on your nomination, for which you are already a winner. This year is already turning out to be the Year of the Women in sports! -AA https://t.co/eXfyVyY0pl"
8,2022-08-12 11:20:26+00:00,atiku,"My priority is to ensure that no one is left behind. United as one, we will get it done. -AA #IYD2022"
9,2022-08-12 11:20:26+00:00,atiku,"Our exponential ability has repeatedly proved itself, and it is my responsibility to ensure that the skills and talents of our youth are not left or forced into latency due to leadership oversight at the top."
10,2022-08-12 11:20:24+00:00,atiku,"On this #IYD2022, my commitment to the youth of Nigeria is that I shall spare no effort in triggering the necessary enablers to ensure that they attain their full potential in technology, creativity, sports, agriculture, and so much more—to their benefits and also Nigeria."
11,2022-08-12 11:20:23+00:00,atiku,There’s no telling that our current situation has drastically diminished the possibilities that should be available to young people to harness their potential. But hope beckons.
12,2022-08-12 11:20:22+00:00,atiku,"One thing is critical, our nation's youth have never, at any point, lacked innovative ideas and unique energy for breakthroughs. What's been missing is the necessary governmental leadership that will throw up opportunities to allow for full expression."
13,2022-08-12 11:20:20+00:00,atiku,I just arrived at the @OfficialPDPNig Youth Wing event commemorating International Youth Day 2022. https://t.co/PbQPrN6yLT
14,2022-08-11 17:46:44+00:00,atiku,"Earlier today, I hosted a delegation of @OfficialPDPNig leaders and leaders of thought from Kogi State led by the former Governor of the state, Captain Idris Wada. -AA https://t.co/V4ACZMvLzt"
15,2022-08-09 19:52:13+00:00,atiku,"I felicitate with Hon. Umar Bature, the indefatigable National Organising Secretary of our great party, the @OfficialPDPNig, on the occasion of his 53rd birthday. I wish him more years in good health in the service of our party and the country. -AA https://t.co/83jfPBMTrm"
16,2022-08-09 12:42:32+00:00,atiku,"As Kenyans go to the polls today, I wish them a resounding success in its outcome because I am mindful that it will have reverberations on deepening democracy on the continent. I wish them a free, fair, peaceful and credible process. -AA"
17,2022-08-09 08:53:31+00:00,atiku,RT @IyeneE: Thank you @atiku for following @IyeneE and for supporting her golf development and promising to follow her golfing career to wi…
18,2022-08-08 12:23:48+00:00,atiku,A grateful nation thanks the entire historic Team Nigeria 🇳🇬 at the Commonwealth Games 2022 in Birmingham. -AA #CommonwealthGames2022 https://t.co/MXZbNUmPr5
19,2022-08-08 09:59:03+00:00,atiku,I pray that the Almighty Allah shall continue to grant you the gift of good health for even greater benefits to the country and humanity. -AA
20,2022-08-08 09:59:03+00:00,atiku,"On behalf of my family, I join other well-wishers to felicitate with former Kaduna state governor and former Chairman of the @OfficialPDPNig National Caretaker Committee, Senator Ahmed Makarfi, as he marks his 66th birthday. https://t.co/0MbZ3eMuUw"
